plot,plot.mpb,stems,bom,LIVE,UPF,Var.7,no.canopy,yes.canopy,no.seed,yes.seed,fire,n,cone.ct,disturbance,sapling.density
64,HU64,2,2,0,0,0,0,2,1,1,unburned,2,500,beetle.only,10
65,HU65,12,11,0,1,0,3,9,6,6,unburned,12,475,beetle.only,7
66,LU66,30,15,14,1,0,2,28,25,5,unburned,30,2100,beetle.only,40
67,MU67,5,5,0,0,0,0,5,3,2,unburned,5,970,beetle.only,14
68,MU68,26,18,4,4,0,3,23,24,2,unburned,26,1618,beetle.only,37
69,MU69,5,5,0,0,0,1,4,3,2,unburned,5,424,beetle.only,22
70,HU70,10,10,0,0,0,1,9,7,3,unburned,10,2375,beetle.only,21
71,HU71,13,9,3,1,0,0,13,6,7,unburned,13,1730,beetle.only,3
72,LL72,20,8,11,1,0,1,19,15,5,surface,20,1087,beetle.only,6
73,ML73,8,4,4,0,0,0,8,6,2,surface,8,516,beetle.only,42
74,LU74,27,11,14,2,0,2,25,24,3,unburned,27,1980,beetle.only,69
75,LL75,9,5,2,2,0,1,8,4,5,surface,9,631,beetle.only,34
76,MU76,10,7,3,0,0,1,9,7,3,unburned,10,451,beetle.only,61
77,MU77,11,6,4,1,0,1,10,11,0,unburned,11,1575,beetle.only,13
78,HU78,5,4,1,0,0,0,5,3,2,unburned,5,626,beetle.only,28
79,MU79,8,4,3,1,0,1,7,5,3,unburned,8,723,beetle.only,25
80,MU80,12,11,0,1,1,1,10,4,8,unburned,12,1117,beetle.only,13
81,HU81,5,4,1,0,0,0,5,3,2,unburned,5,1205,beetle.only,48
82,LU82,4,1,3,0,0,0,4,1,3,unburned,4,166,beetle.only,24
83,MU83,26,19,6,1,0,2,24,18,8,unburned,26,825,beetle.only,35
